dataset,index,method,metric,value
50_4,0,copy_nj,tree_acc,0.10638297872340426
50_4,0,dice,tree_acc,0.10638297872340426
50_4,0,scistree2,tree_acc,0.2765957446808511
50_4,0,cellphy,tree_acc,0.2765957446808511
50_4,0,scistreec,tree_acc,0.3191489361702128
50_4,0,condor,tree_acc,0.19148936170212766
50_4,0,scistree2,geno_acc,0.984
50_4,0,cellphy,geno_acc,0.7884
50_4,0,scistreec,geno_acc,0.9796
50_4,0,condor,geno_acc,0.906
50_4,1,copy_nj,tree_acc,0.14893617021276595
50_4,1,dice,tree_acc,0.14893617021276595
50_4,1,scistree2,tree_acc,0.3404255319148936
50_4,1,cellphy,tree_acc,0.425531914893617
50_4,1,scistreec,tree_acc,0.40425531914893614
50_4,1,condor,tree_acc,0.2553191489361702
50_4,1,scistree2,geno_acc,0.984
50_4,1,cellphy,geno_acc,0.7964
50_4,1,scistreec,geno_acc,0.9864
50_4,1,condor,geno_acc,0.9332
50_4,2,copy_nj,tree_acc,0.14893617021276595
50_4,2,dice,tree_acc,0.1276595744680851
50_4,2,scistree2,tree_acc,0.2978723404255319
50_4,2,cellphy,tree_acc,0.2127659574468085
50_4,2,scistreec,tree_acc,0.2553191489361702
50_4,2,condor,tree_acc,0.2127659574468085
50_4,2,scistree2,geno_acc,0.9836
50_4,2,cellphy,geno_acc,0.8116
50_4,2,scistreec,geno_acc,0.978
50_4,2,condor,geno_acc,0.8984
50_4,3,copy_nj,tree_acc,0.10638297872340426
50_4,3,dice,tree_acc,0.10638297872340426
50_4,3,scistree2,tree_acc,0.2553191489361702
50_4,3,cellphy,tree_acc,0.2765957446808511
50_4,3,scistreec,tree_acc,0.19148936170212766
50_4,3,condor,tree_acc,0.1702127659574468
50_4,3,scistree2,geno_acc,0.9848
50_4,3,cellphy,geno_acc,0.78
50_4,3,scistreec,geno_acc,0.984
50_4,3,condor,geno_acc,0.8992
50_4,4,copy_nj,tree_acc,0.1276595744680851
50_4,4,dice,tree_acc,0.0851063829787234
50_4,4,scistree2,tree_acc,0.2553191489361702
50_4,4,cellphy,tree_acc,0.3617021276595745
50_4,4,scistreec,tree_acc,0.2553191489361702
50_4,4,condor,tree_acc,0.0851063829787234
50_4,4,scistree2,geno_acc,0.9764
50_4,4,cellphy,geno_acc,0.862
50_4,4,scistreec,geno_acc,0.9764
50_4,4,condor,geno_acc,0.914
50_6,0,copy_nj,tree_acc,0.19148936170212766
50_6,0,dice,tree_acc,0.19148936170212766
50_6,0,scistree2,tree_acc,0.2127659574468085
50_6,0,cellphy,tree_acc,0.14893617021276595
50_6,0,scistreec,tree_acc,0.2127659574468085
50_6,0,condor,tree_acc,0.02127659574468085
50_6,0,scistree2,geno_acc,0.9804
50_6,0,cellphy,geno_acc,0.7272
50_6,0,scistreec,geno_acc,0.9816
50_6,0,condor,geno_acc,0.6952
50_6,1,copy_nj,tree_acc,0.23404255319148937
50_6,1,dice,tree_acc,0.23404255319148937
50_6,1,scistree2,tree_acc,0.19148936170212766
50_6,1,cellphy,tree_acc,0.1702127659574468
50_6,1,scistreec,tree_acc,0.3404255319148936
50_6,1,condor,tree_acc,0.2553191489361702
50_6,1,scistree2,geno_acc,0.9692
50_6,1,cellphy,geno_acc,0.8008
50_6,1,scistreec,geno_acc,0.9652
50_6,1,condor,geno_acc,0.8164
50_6,2,copy_nj,tree_acc,0.19148936170212766
50_6,2,dice,tree_acc,0.19148936170212766
50_6,2,scistree2,tree_acc,0.14893617021276595
50_6,2,cellphy,tree_acc,0.19148936170212766
50_6,2,scistreec,tree_acc,0.2978723404255319
50_6,2,condor,tree_acc,0.02127659574468085
50_6,2,scistree2,geno_acc,0.978
50_6,2,cellphy,geno_acc,0.6752
50_6,2,scistreec,geno_acc,0.9816
50_6,2,condor,geno_acc,0.866
50_6,3,copy_nj,tree_acc,0.23404255319148937
50_6,3,dice,tree_acc,0.23404255319148937
50_6,3,scistree2,tree_acc,0.2765957446808511
50_6,3,cellphy,tree_acc,0.2127659574468085
50_6,3,scistreec,tree_acc,0.3829787234042553
50_6,3,condor,tree_acc,0.0
50_6,3,scistree2,geno_acc,0.984
50_6,3,cellphy,geno_acc,0.772
50_6,3,scistreec,geno_acc,0.9852
50_6,3,condor,geno_acc,0.864
50_6,4,copy_nj,tree_acc,0.19148936170212766
50_6,4,dice,tree_acc,0.2127659574468085
50_6,4,scistree2,tree_acc,0.19148936170212766
50_6,4,cellphy,tree_acc,0.1276595744680851
50_6,4,scistreec,tree_acc,0.3191489361702128
50_6,4,condor,tree_acc,0.19148936170212766
50_6,4,scistree2,geno_acc,0.9824
50_6,4,cellphy,geno_acc,0.7224
50_6,4,scistreec,geno_acc,0.9708
50_6,4,condor,geno_acc,0.7216
